City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
robertsport,6.7533,-11.3686,80.38,86,62,9.98,LR,1612049235
meulaboh,4.1363,96.1285,74.84,85,88,4.56,ID,1612049223
svencionys,55.15,26.1667,18.9,97,79,9.06,LT,1612049235
swan hill,-35.3378,143.5544,66.02,52,0,10.11,AU,1612049236
qandala,11.472,49.8728,71.08,70,3,3.15,SO,1612049236
synya,65.3718,58.0387,-4.49,91,100,6.33,RU,1612049236
kampene,-3.6,26.6667,69.48,98,100,2.48,CD,1612049236
bend,44.0582,-121.3153,44.6,53,90,6.91,US,1612049236
salinas,36.6777,-121.6555,57.2,58,90,10.36,US,1612049236
dalby,-27.1833,151.2667,77,69,75,9.22,AU,1612049236
san juan de los morros,9.9115,-67.3538,86,32,40,4.74,VE,1612049172
pudozh,61.8099,36.5345,12.4,96,17,4.85,RU,1612049236
cabo san lucas,22.8909,-109.9124,75,73,40,11.5,MX,1612049214
knysna,-34.0363,23.0471,64.4,82,75,3.44,ZA,1612049236
petropavlovsk-kamchatskiy,53.0452,158.6483,21.2,63,100,2.24,RU,1612049127
ulaangom,49.9811,92.0667,-6.11,83,0,0.51,MN,1612049229
oyugis,-0.509,34.7358,65.05,68,67,3.02,KE,1612049237
isla mujeres,21.2311,-86.731,78.8,53,40,13.8,MX,1612049237
lakes entrance,-37.8811,147.981,66.99,65,58,5.01,AU,1612049237
adelaide,-34.9333,138.6,69.01,52,20,9.22,AU,1612049237
kununurra,-15.7667,128.7333,82.4,94,75,6.91,AU,1612049109
nacala,-14.5428,40.6728,79.09,86,100,7.61,MZ,1612049237
la seyne-sur-mer,43.0982,5.8847,52,77,98,13,FR,1612049237
fukue,32.6881,128.8419,41,87,20,4.61,JP,1612049238
amambai,-23.1042,-55.2258,75.29,93,83,5.91,BR,1612049238
san matias,-16.3667,-58.4,81.48,70,35,4.88,BO,1612049238
finsterwalde,51.6333,13.7167,24.8,100,75,1.14,DE,1612049238
quelimane,-17.8786,36.8883,80.6,89,75,2.3,MZ,1612049238
khorixas,-20.3667,14.9667,68.81,56,96,5.88,NA,1612049238
ust-uda,54.1742,103.0304,-27.54,82,100,6.6,RU,1612049238
abu zabad,12.35,29.25,64.76,24,2,12.44,SD,1612049238
panzhihua,26.5851,101.7128,44.01,69,0,1.1,CN,1612049238
bani walid,31.7566,13.9942,61.99,31,0,11.79,LY,1612049239
zhangye,38.9342,100.4517,18.48,72,0,4,CN,1612049239
preobrazheniye,42.9019,133.9064,1.72,82,0,8.46,RU,1612049239
santa maria,-29.6842,-53.8069,68,100,90,9.22,BR,1612049239
robertson,36.5167,-86.8667,45,61,90,4.61,US,1612049239
asau,46.4333,26.4,41,75,0,9.22,RO,1612049239
komoro,36.3167,138.4333,35.01,75,45,1.99,JP,1612048945
antalaha,-14.9003,50.2788,76.1,87,11,4.34,MG,1612049239
zabid,14.1951,43.3152,72.48,80,15,4.05,YE,1612049239
shumskiy,54.8318,99.1328,-30.03,81,75,2.77,RU,1612049234
bitkine,11.9801,18.2138,70.97,22,0,7.81,TD,1612049239
camargo,27.6667,-105.1667,79.34,15,0,14.97,MX,1612049239
east moline,41.5009,-90.4443,34,86,90,16.11,US,1612049240
dhing,26.4667,92.4667,57.34,46,8,1.97,IN,1612049240
puerto narino,-3.7703,-70.3831,80.6,89,40,3.44,CO,1612049240
egvekinot,66.3167,-179.1667,-24.52,83,0,10.98,RU,1612049240
shimoda,34.6667,138.95,43,81,20,2.3,JP,1612049173
rocha,-34.4833,-54.3333,68.27,90,100,16.89,UY,1612049174
homer,59.6425,-151.5483,28.4,80,1,5.03,US,1612049240
mucuri,-18.0864,-39.5508,77.81,81,0,10.6,BR,1612049240
kidal,18.4411,1.4078,66.04,23,1,9.86,ML,1612049240
tripoli,32.8752,13.1875,64.8,42,0,14.76,LY,1612049059
impfondo,1.6381,18.0667,73.08,92,100,3.06,CG,1612049240
lata,40.1629,-8.3327,55.99,88,67,8.01,PT,1612049240
pasighat,28.0667,95.3333,53.8,58,6,3.4,IN,1612049241
sekoma,-24.4,23.8833,73.22,73,48,5.59,BW,1612049241
gat,31.61,34.7642,55.99,58,0,1.01,IL,1612049223
nuoro,40.3211,9.3297,60.8,51,0,20.71,IT,1612049139
lypnyazhka,48.4469,31.0761,33.4,95,100,11.18,UA,1612049241
bulgan,48.8125,103.5347,0.55,81,43,2.01,MN,1612049241
grindavik,63.8424,-22.4338,21.2,68,0,8.05,IS,1612049241
kushiro,42.975,144.3747,14,85,20,4.61,JP,1612049241
brainerd,46.358,-94.2008,32,64,90,4.61,US,1612049241
eydhafushi,5.1033,73.0708,81.18,71,58,11.92,MV,1612049241
dunedin,-45.8742,170.5036,61,73,28,21,NZ,1612049242
caceres,39.522,-6.3748,45.28,89,33,11.56,ES,1612049242
buchanan,5.8808,-10.0467,77,94,75,7.45,LR,1612049242
tawang,27.5833,91.8667,26.22,74,0,3.69,IN,1612049242
nichinan,31.6,131.3667,37.4,81,20,8.05,JP,1612049242
araouane,18.9048,-3.5265,67.75,21,20,9.44,ML,1612049242
maraa,-1.8333,-65.3667,78.82,84,28,3.15,BR,1612049242
kokoda,-8.8785,147.7407,80.24,61,100,3.94,PG,1612049242
jiangyou,31.7667,104.7167,44.01,61,70,3.02,CN,1612049242
katobu,-4.9408,122.5276,76.15,92,100,3,ID,1612049243
aviemore,57.1955,-3.8259,32,100,90,0.6,GB,1612049243
paoua,7.2427,16.4406,71.82,26,75,2.28,CF,1612049243
kantang,7.4054,99.5156,73.4,100,20,3.44,TH,1612049243
la asuncion,11.0333,-63.8628,77.04,85,39,13.89,VE,1612049243
mayor pablo lagerenza,-19.9309,-60.7718,88.03,48,0,8.93,PY,1612049243
berlevag,70.8578,29.0864,24.76,96,100,22.5,NO,1612049243
ossora,59.2353,163.0719,-0.53,89,98,29.39,RU,1612049243
kantemirovka,49.7089,39.8592,35.08,87,100,15.82,RU,1612049243
hudson bay,52.85,-102.3842,14.25,96,100,1.5,CA,1612049243
loanda,-8.8368,13.2343,80.6,78,75,5.75,AO,1612049081
ayan,56.45,138.1667,-7.6,86,100,6.29,RU,1612049244
tambopata,-12.7333,-69.1833,76.59,93,16,3.78,PE,1612049244
vuktyl,63.8567,57.3094,-6.11,90,100,7.43,RU,1612049244
ternuvate,47.8305,36.1276,40.23,81,100,15.84,UA,1612049244
grand-santi,4.25,-54.3833,74.71,96,100,3.29,GF,1612049244
swakopmund,-22.6833,14.5333,66.99,77,7,4.61,NA,1612049244
khandbari,27.3747,87.2039,45.39,53,0,2.37,NP,1612049244
mount isa,-20.7333,139.5,93.2,29,76,6.91,AU,1612049244
bosaso,11.2842,49.1816,72.09,75,21,5.21,SO,1612049244
usisha,42.2511,47.3928,39.2,93,90,4.47,RU,1612049244
tuatapere,-46.1333,167.6833,63.09,51,93,1.72,NZ,1612049244
otane,-39.8833,176.6333,66.99,57,63,1.99,NZ,1612049245
maniitsoq,65.4167,-52.9,12.7,80,0,9.69,GL,1612049245
redmond,47.674,-122.1215,48,80,100,6.29,US,1612049217
kumta,14.4167,74.4,73.38,58,18,4.09,IN,1612049245
aden,12.7794,45.0367,74.12,73,0,8.46,YE,1612049245
fairbanks,64.8378,-147.7164,-2.99,71,90,3.44,US,1612049222
teguldet,57.3064,88.1667,-28.53,84,0,4.29,RU,1612049245
mvuma,-19.2792,30.5283,66.11,91,100,7.27,ZW,1612049245
tautira,-17.7333,-149.15,86,62,75,12.66,PF,1612049245
chita,52.0333,113.55,-27.4,75,40,2.95,RU,1612049245
kelme,55.6339,22.9342,24.8,86,90,12.66,LT,1612049246
popondetta,-8.7537,148.2534,81.68,83,99,0.67,PG,1612049125
sorland,67.667,12.6934,30.99,93,96,11.7,NO,1612049246
matara,5.9485,80.5353,76.51,86,98,4.81,LK,1612049246
weyburn,49.6668,-103.8511,12.2,85,60,9.22,CA,1612049246
tomatlan,19.9333,-105.25,91.63,28,0,5.14,MX,1612049246
tabuk,17.4189,121.4443,63.75,87,100,2.84,PH,1612049246
traverse city,44.7631,-85.6206,28.99,46,90,10.71,US,1612049034
bethanien,-26.502,17.1583,76.75,21,0,5.82,NA,1612049246
grand gaube,-20.0064,57.6608,75.99,87,1,3,MU,1612049246
listvyanskiy,54.4399,83.4984,-10.98,83,1,6.29,RU,1612049246
kamenka,51.3223,42.7678,35.01,94,100,14.12,RU,1612049246
bafoulabe,13.8065,-10.8321,79.02,14,37,6.67,ML,1612049246
atar,20.5169,-13.0499,68.34,21,59,8.25,MR,1612049247
mount darwin,-16.7725,31.5838,67.98,97,100,4.45,ZW,1612049247
cascais,38.6979,-9.4215,57.99,83,71,17.49,PT,1612049247
houlton,46.1262,-67.8403,7,66,1,8.05,US,1612049247
cayenne,4.9333,-52.3333,80.6,89,75,10.36,GF,1612049247
bridlington,54.0831,-0.1919,37,84,22,1.99,GB,1612049247
geraldton,-28.7667,114.6,86,28,0,12.66,AU,1612049247
kamsack,51.5667,-101.9009,17.6,100,90,6.91,CA,1612049247
bartica,6.4,-58.6167,78.8,94,75,4.61,GY,1612049247
raudeberg,61.9875,5.1352,33.01,93,100,10.63,NO,1612049247
yakeshi,49.2833,120.7333,-20.24,86,100,3.85,CN,1612049247
tilichiki,60.4667,166.1,-13.32,91,100,16.89,RU,1612049219
aksarka,66.5606,67.7975,-18.47,87,100,11.01,RU,1612049248
henties bay,-22.116,14.2845,66.99,86,30,4,NA,1612049248
halifax,44.6453,-63.5724,19,78,100,3,CA,1612049075
trairi,-3.2778,-39.2689,79.38,80,70,8.5,BR,1612049248
apricena,41.7839,15.4437,46.4,81,0,6.91,IT,1612049248
salta,-24.7859,-65.4117,73.4,68,40,13.8,AR,1612049248
trang,7.5,99.5,73.4,100,20,3.44,TH,1612049248
igboho,8.8333,3.75,75.34,19,0,1.97,NG,1612049248
pitimbu,-7.4706,-34.8086,78.8,83,20,6.91,BR,1612049248
